... loading data
... building the model
** Model weights: **
mean of Weights Matrix:  -6.35461e-05  STD:  0.0394253
(784, 500)
(500,)
** Model weights: **
mean of Weights Matrix:  8.01995e-05  STD:  0.0447826
(500, 500)
(500,)
... training
epoch 147, minibatch 2500/2500, validation error 1.910000 %
epoch 148, minibatch 2500/2500, validation error 1.910000 %
epoch 149, minibatch 2500/2500, validation error 1.910000 %
epoch 150, minibatch 2500/2500, validation error 1.910000 %
epoch 151, minibatch 2500/2500, validation error 1.910000 %
epoch 152, minibatch 2500/2500, validation error 1.910000 %
epoch 153, minibatch 2500/2500, validation error 1.910000 %
epoch 154, minibatch 2500/2500, validation error 1.910000 %
epoch 155, minibatch 2500/2500, validation error 1.910000 %
epoch 156, minibatch 2500/2500, validation error 1.910000 %
epoch 157, minibatch 2500/2500, validation error 1.910000 %
epoch 158, minibatch 2500/2500, validation error 1.910000 %
epoch 159, minibatch 2500/2500, validation error 1.910000 %
epoch 160, minibatch 2500/2500, validation error 1.900000 %
     epoch 160, minibatch 2500/2500, test error of best model 1.960000 %
epoch 161, minibatch 2500/2500, validation error 1.890000 %
     epoch 161, minibatch 2500/2500, test error of best model 1.960000 %
epoch 162, minibatch 2500/2500, validation error 1.890000 %
epoch 163, minibatch 2500/2500, validation error 1.900000 %
epoch 164, minibatch 2500/2500, validation error 1.900000 %
epoch 165, minibatch 2500/2500, validation error 1.900000 %
epoch 166, minibatch 2500/2500, validation error 1.900000 %
epoch 167, minibatch 2500/2500, validation error 1.900000 %
epoch 168, minibatch 2500/2500, validation error 1.900000 %
epoch 169, minibatch 2500/2500, validation error 1.900000 %
epoch 170, minibatch 2500/2500, validation error 1.900000 %
epoch 171, minibatch 2500/2500, validation error 1.890000 %
epoch 172, minibatch 2500/2500, validation error 1.890000 %
epoch 173, minibatch 2500/2500, validation error 1.880000 %
     epoch 173, minibatch 2500/2500, test error of best model 1.940000 %
epoch 174, minibatch 2500/2500, validation error 1.880000 %
epoch 175, minibatch 2500/2500, validation error 1.880000 %
epoch 176, minibatch 2500/2500, validation error 1.880000 %
epoch 177, minibatch 2500/2500, validation error 1.880000 %
epoch 178, minibatch 2500/2500, validation error 1.880000 %
epoch 179, minibatch 2500/2500, validation error 1.880000 %
epoch 180, minibatch 2500/2500, validation error 1.880000 %
epoch 181, minibatch 2500/2500, validation error 1.880000 %
epoch 182, minibatch 2500/2500, validation error 1.880000 %
epoch 183, minibatch 2500/2500, validation error 1.880000 %
epoch 184, minibatch 2500/2500, validation error 1.880000 %
epoch 185, minibatch 2500/2500, validation error 1.880000 %
epoch 186, minibatch 2500/2500, validation error 1.880000 %
epoch 187, minibatch 2500/2500, validation error 1.880000 %
epoch 188, minibatch 2500/2500, validation error 1.880000 %
epoch 189, minibatch 2500/2500, validation error 1.880000 %
epoch 190, minibatch 2500/2500, validation error 1.880000 %
epoch 191, minibatch 2500/2500, validation error 1.880000 %
epoch 192, minibatch 2500/2500, validation error 1.880000 %
epoch 193, minibatch 2500/2500, validation error 1.880000 %
epoch 194, minibatch 2500/2500, validation error 1.880000 %
epoch 195, minibatch 2500/2500, validation error 1.880000 %
epoch 196, minibatch 2500/2500, validation error 1.890000 %
epoch 197, minibatch 2500/2500, validation error 1.900000 %
epoch 198, minibatch 2500/2500, validation error 1.900000 %
epoch 199, minibatch 2500/2500, validation error 1.890000 %
epoch 200, minibatch 2500/2500, validation error 1.890000 %
Optimization complete. Best validation score of 1.880000 % obtained at iteration 432500, with test performance 1.940000 %
** Model weights: **
mean of Weights Matrix:  0.0001024  STD:  0.021987
(784, 500)
(500,)
** Model weights: **
mean of Weights Matrix:  0.000117689  STD:  0.0547645
(500, 500)
(500,)
